isodate,cdoc,dir_location
1878-01-28,633443863021210101,TESTd080808/cdoc/633443863021210101/
1942-11-05,633474739771093275,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474739771093275/
1942-01-07,633474726774234000,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474726774234000/
1940-11-21,633474677607463449,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474677607463449/
1941-10-25,633474715940748934,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474715940748934/
1943-01-19,633474746524217440,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474746524217440/
1942-09-10,633474736396554393,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474736396554393/
1943-09-11,633474754739391046,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474754739391046/
1940-11-29,633474677934590264,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474677934590264/
1946-03-19,633474772669331285,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474772669331285/
1942-07-28,633474733473738787,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474733473738787/
1942-04-17,633474730103875426,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474730103875426/
1942-05-11,633474730994012401,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474730994012401/
1945-01-26,633474767130151024,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474767130151024/
1940-11-22,633474677672826114,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474677672826114/
1943-10-14,633474755375630326,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474755375630326/
1941-05-20,633474713504300352,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474713504300352/
1941-02-05,633474709555902816,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474709555902816/
1940-11-09,633474677117792069,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474677117792069/
1942-01-26,633474727479984826,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474727479984826/
1941-12-04,633474717537265114,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474717537265114/
1943-04-19,633474751893317271,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474751893317271/
1945-07-27,633474768602701887,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474768602701887/
1942-10-24,633474738823812663,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474738823812663/
1942-07-27,633474733372993795,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474733372993795/
1940-10-29,633474676611192229,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474676611192229/
1945-12-14,633474770922324262,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474770922324262/
1941-02-20,633474710230753940,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474710230753940/
1878-04-26,633474674029044477,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474674029044477/
1941-02-06,633474709600784736,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474709600784736/
1943-05-07,633474753268867416,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474753268867416/
1941-11-13,633474716690722978,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474716690722978/
1942-08-24,633474735339046785,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474735339046785/
1878-02-26,633474673264073941,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673264073941/
1942-01-17,633474727198987276,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474727198987276/
1941-09-20,633474714209010486,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474714209010486/
1941-01-08,633474708335987296,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474708335987296/
1941-03-08,633474710994246670,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474710994246670/
1944-03-18,633474760030313235,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474760030313235/
1940-11-16,633474677402127499,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474677402127499/
1878-04-04,633474673774946974,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673774946974/
1944-12-29,633474762334653392,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474762334653392/
1940-09-24,633474675011250262,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474675011250262/
1943-07-22,633474753820898556,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474753820898556/
1878-05-24,633474674390420591,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474674390420591/
1942-10-19,633474738310429587,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474738310429587/
